1|1|1
2|1|2
3|1|3
4|1|4
5|1|5
6|1|6
7|1|7
8|1|8
9|2|1
10|2|2
11|2|3
12|2|4
13|2|5
14|2|6
15|2|7
16|2|8
17|3|1
18|3|2
19|3|3
20|3|4
21|3|5
22|3|6
23|3|7
24|3|8
25|4|9
26|4|10
27|4|11
28|4|12
29|4|13
30|4|14
31|4|15
32|4|16
33|5|9
34|5|10
35|5|11
36|5|12
37|5|13
38|5|14
39|5|15
40|5|16
41|6|9
42|6|10
43|6|11
44|6|12
45|6|13
46|6|14
47|6|15
48|6|16
49|7|17
50|7|18
51|7|19
52|7|20
53|7|21
54|7|22
55|7|23
56|7|24
57|8|17
58|8|18
59|8|19
60|8|20
61|8|21
62|8|22
63|8|23
64|8|24
65|9|17
66|9|18
67|9|19
68|9|20
69|9|21
70|9|22
71|9|23
72|9|24
73|10|25
74|10|26
75|10|27
76|10|28
77|10|29
78|10|30
79|10|31
80|10|32
81|10|33
82|11|25
83|11|26
84|11|27
85|11|28
86|11|29
87|11|30
88|11|31
89|11|32
90|11|33
91|12|25
92|12|26
93|12|27
94|12|28
95|12|29
96|12|30
97|12|31
98|12|32
99|12|33
100|13|34
101|13|35
102|13|36
103|13|37
104|13|38
105|13|39
106|13|40
107|13|41
108|13|42
109|14|43
110|14|44
111|14|45
112|14|46
113|14|47
114|14|48
115|14|49
116|14|50
117|14|51
118|15|43
119|15|44
120|15|45
121|15|46
122|15|47
123|15|48
124|15|49
125|15|50
126|15|51
127|16|52
128|16|53
129|16|54
130|17|52
131|17|53
132|17|54
133|18|52
134|18|53
135|18|54
136|19|55
137|19|56
138|19|57
139|20|55
140|20|56
141|20|57
142|21|58
143|21|59
144|21|60
145|22|58
146|22|59
147|22|60
148|23|58
149|23|59
150|23|60
151|24|61
152|25|61
153|26|62
154|27|62
155|28|63
156|29|63
157|30|64
158|31|64
159|32|65
160|33|65
161|34|65
162|35|66
163|36|66
164|37|66
165|38|67
166|38|68
167|38|69
168|38|70
169|39|67
170|39|68
171|39|69
172|39|70
173|40|67
174|40|68
175|40|69
176|40|70
177|41|71
178|41|72
179|41|73
180|41|74
181|42|71
182|42|72
183|42|73
184|42|74
185|43|75
186|43|76
187|43|77
188|43|78
189|44|75
190|44|76
191|44|77
192|44|78
193|45|79
194|45|80
195|45|81
196|45|82
197|45|83
198|45|84
199|45|85
200|45|86
201|46|79
202|46|80
203|46|81
204|46|82
205|46|83
206|46|84
207|46|85
208|46|86
209|47|87
210|47|88
211|47|89
212|47|90
213|47|91
214|47|92
215|47|93
216|47|94
217|48|87
218|48|88
219|48|89
220|48|90
221|48|91
222|48|92
223|48|93
224|48|94
225|49|95
226|49|96
227|49|97
228|49|98
229|49|99
230|49|100
231|49|101
232|49|102
233|50|103
234|51|103
235|52|104
236|53|104
237|54|105
238|55|105
239|56|106
240|56|107
241|56|108
242|56|109
243|56|110
244|57|111
245|58|112
246|59|113
